author,comment,publishedAt,likeCount
@arafat.5409,"Yang kayak gini nih bikin betah scroll lama. Konten oke, tinggal buka 🎯𝗣𝗦𝗧𝗢𝗧𝗢𝟵𝟵🎯 biar makin komplit 🤙",2025-11-12T22:40:18Z,0
@sungalaxy_1806,"Baru liat, tapi langsung betah nontonnya! Vibes-nya chill parah, kayak nongkrong di room 𝙋𝙎𝙏𝙊𝙏𝙊𝟵𝟵 😂",2025-11-12T22:40:18Z,0
@azzahrapchw,"Tetangg ague pernah ribut sama adeknya,, dia sampe kesel bngt sampe bilang mau lapor damkar karna kalo lapor instansi sebelah dia gak percaya bakalan beres 😂",2025-11-12T22:38:28Z,0
@scepticEarthling,"""kita hadir dulu"" 🥹",2025-11-12T22:36:59Z,1
@KataNira28,"Pengalamanku rumah kemasukan ular, ular sawah gak bahaya, tp damkar sigap datang bawa pasukan, nyalain sirine naik mobil damkar. Trus gak mau dibayar beliau2nya bilang ""ini sudah tugas kami"". Saya rela bayar pajak buat naikin gaji damkar, buat instansi yg bener2 bermanfaat dgn masyarakat kayak gini.",2025-11-12T22:34:45Z,0
@risma7989,Ini keren sudah mengundang petugas Damkar . Luar biasa pak atas kepedulian dan perhatian juga cepat tanggap kepada semua laporan masyarakat. Semoga kesejahteraan bapak semakin diperhatikan dan ditingkatkan oleh pemerintah,2025-11-12T22:31:45Z,3
@adheratna1964,"Di daerahku damkarnya pendek"" Soalnya masuknya jalur ordal😂😂😂 sorry to say tapi ini dah rahasia umum",2025-11-12T22:30:52Z,0
@whulanlandary6702,"RESPECT, SEHAT SELALU SEMUAAA BAPAK² DAMKAR 🫡🫡❤️‍🔥❤️‍🔥❤️‍🔥",2025-11-12T22:29:30Z,0
@secondaccount2709,Bang radit lagi nulis premis stand up ttg damkar 😂,2025-11-12T22:28:52Z,0
@whulanlandary6702,"""Apapun laporan masyarakat, kita ga akan anggap remeh"" 🥹🥹🥹🥹",2025-11-12T22:28:28Z,4
@whulanlandary6702,"DEFINISI ""TUGAS BOMBA LEBIH DARIPADA ITU"" Bangga banget🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩❤",2025-11-12T22:26:04Z,0
@blackcoffeee,Damkar tuh pahlawan kita saat ini ❤,2025-11-12T22:25:24Z,0
@AndiekaAlmas,Spesial hari pahlawan nih ya,2025-11-12T22:24:51Z,0
@stardust8523,Aku cinta damkar,2025-11-12T22:24:20Z,0
@Ani-t2t,Kesini karena di suruh sama kak diera😭,2025-11-12T22:23:26Z,1
@nguy3nhunter704,Apapun masalah mu ya ke damkar aja .. eitss satu lagi apapun keresahan mu udh pasti 𝐖𝐈𝐅𝐈𝟒𝐃 solusi nya !!,2025-11-12T22:21:16Z,0
@anisaumami1623,Damkar bdnnya bagus ngk kayak sebelah buncit2😂,2025-11-12T22:18:04Z,0
@iqbalprayogi8873,utamakan kesejahteraan damkar dr pada polisi !,2025-11-12T22:17:40Z,0
@IndiraRassaRaharani,😢😢❤❤,2025-11-12T22:16:43Z,0
@riosaji,double rispect kepada seluruh pemadam 🙌,2025-11-12T22:16:11Z,0
@HartoKamdi,"Radit X Susu Zee

Whaaaaatttt?",2025-11-12T22:15:10Z,0
@SuperBumbum01,Petugas segala urusan. Beda tipislah kerjaannya sama opung yg satu itu. Damkar lbh peduli & gak perlu laporan bertele2 utk minta tolong. Gak spt wereng coklat byk kecewanya.,2025-11-12T22:00:31Z,0
@AgusPurnomo-x5h,kata gua mah kita rela di pajekin buat damkar,2025-11-12T21:57:58Z,0
@julehaatun4719,❤damkar❤,2025-11-12T21:57:48Z,0
@mellyasraf,"Dompetku hilang dijalan terus lapor polisi minta bantuan ga di gubris dianggap sepele berbelit2 akhirnya yaudah pulang aja. Terus adek ku bilang lapor damkar akhirnya ke damkar terus bener2 di bantu mereka minta rekaman cctv sekitar, ternyata dompetnya udah di ambil tukang bakso dan kata yg punya CCTVnya dia tau siapa terus didatengin kerumah baik2, setelah selesai mereka sampe anterin ke rumah",2025-11-12T21:57:43Z,1
@radendanar2259,Wehh ini tolong diadaptasi jadi filem atau series wehh,2025-11-12T21:28:09Z,0
@herbywijaya,11;48 pakai seragam coklat biasanya,2025-11-12T21:16:40Z,0
@isee5251,"Jauh lebih respect sama Damkar, daripada silop perut buncit tukang mukulin rakyat!",2025-11-12T21:04:39Z,1
@withyoo_,seruu bgt bintang tamunya random tapi bener2 ada isinya! keep it up banggg!! 30:40 ngakak abs wkwkkw,2025-11-12T20:56:22Z,0
